name,Meadow ID,Meadow Name,Meadow Reference,Assessment Date,Assessment Points,Assessment Completed,Organization Affiliation,Elevation_m,Slope,Hydrogeomorphic Type,Land Ownership,Bank Height,Secondary Channel Bank Height,Gullies,Left Bank Stability,Right Bank Stability,Total Bank Stability,Secondary Channel Bank Stability,Vegetation Cover,Bare Ground,Encroachment,Restoration Efforts,Comments on Restoration,Headcut Present,Number of Headcuts,Ponds Present,Aspen Trees Present,Grazing Trails,Stubble,Dung in Channel,Hoof Prints on Banks,Surveyor(s),Trail,Evidence of OHV use,Road,Corral,Building,Vehical Access,Adjacent Culvert,Adjacent Bridge,Adjacent Road,Adjacent Building,Gopher Disturbance,"Willow, Alder, and Aspen Coverage",Fish Observed,Beavers,Latitude,Longitude,Watershed,General Comments
Not Meadow # 16 Assessment,,Not Meadow # 16,UCDSNM014259,"Tuesday, July 22, 2014",,No,American Rivers,2307,7.5,,Private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.083408,-120.280822,North Fork American,Not surveyed due to steep slope in most of area. True meadow area is less than 15 acres. The lower polygon has necessary qualities of a meadow. It is however smaller than minimum limit and inaccessible. It also appears to be in a natural and unaltered state.
Not Meadow #12 Assessment,,Not Meadow #12,UCDSNM013420,"Friday, August 2, 2013",,No,American Rivers,2309,7.6,,,,,,,,,,,,,,,,,,,,,,,Julie Fair,,,,,,,,,,,,,,,38.494652,-120.112898,South Fork American,
Not Meadow #13 Assessment,,Not Meadow #13,UCDSNM013798,"Saturday, August 23, 2014",,No,American Rivers,2647,8.3,,Eldorado National Forest,,,,,,,,,,,,,,,,,,,,,Julie Fair,,,,,,,,,,,,,,,38.902878,-120.210069,South Fork American,Portion of meadow near lake (lower meadow) is < 15 acres. 
Not Meadow #10 Assessment,,Not Meadow #10,UCDSNM013295,"Wednesday, June 19, 2013",,No,American Rivers,2186,7.5,,Eldorado National Forest,,,,,,,,,,,No,The majority of this polygon is steep slope (>5 degrees) covered thickly with alder. No transects taken. A stream channel was observed north of the polygon at its edge. ,No,,,Yes,No,No,No,No,Julie Fair,No,No,No,No,Yes,Yes,No,No,Yes,No,,0.75,No,No,38.809047,-120.217067,South Fork American,
Not Meadow #11 Assessment,,Not Meadow #11,UCDSNM014435,"Tuesday, July 1, 2014",,No,American Rivers,2210,0.7,,Eldorado National Forest,,,,,,,,,,,,,,,,,,,,,Julie Fair,,,,,,,,,,,,0.9,,,38.822483,-120.202778,South Fork American,"Almost entire meadow covered in dense, low (5-15') aspen. "
Not Meadow #2 Assessment,,Not Meadow #2,UCDSNM012789,"Wednesday, July 10, 2013",,No,American Rivers,2703,4.9,,Eldorado National Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.678822,-119.990672,South Fork American,"Not meadow due to seep slope, willow density, and presence of old conifers. Polygon misrepresents riparian environment."
Emigrant Valley Assessment,,Emigrant Valley,UCDSNM012773,"Thursday, July 3, 2014",,No,American Rivers,2522,2.3,,Eldorado National Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.672464,-120.043464,South Fork American,"Not meadow, ski area run out. Steep terraces with small riparian environments are present at the bottom of the two ski lifts."
Not Meadow #9 Assessment,,Not Meadow #9,UCDSNM013069,"Saturday, June 22, 2013",,No,American Rivers,2178,2,,Eldorado National Forest,,,,,,,,,,,,,,,,,,,,,Julie Fair,,,,,,,,,,,,,,,38.75867,-120.133852,South Fork American,Steep riparian corridor. Lots of alder. Recreational trail. 
Not Meadow #8 Assessment,,Not Meadow #8,UCDSNM013035,"Friday, June 21, 2013",,No,American Rivers,2285,5.5,,Eldorado National Forest,,,,,,,,,,,,,,,,,,,,,Julie Fair,,,,,,,,,,,,,,,38.755874,-120.150406,South Fork American,Not a meadow. Lots of bare soil. 
Not Meadow #7 Assessment,,Not Meadow #7,UCDSNM013002,"Friday, June 21, 2013",,No,American Rivers,2299,11.6,,Eldorado National Forest,,,,,,,,,,,,,,,,,,,,,Julie Fair,,,,,,,,,,,,,,,38.750319,-120.157735,South Fork American,Not a meadow. Downhill section dominated by alder. Steep slope - not a quality as a wet meadow. 
Not Meadow #4 Assessment,,Not Meadow #4,UCDSNM012991,"Saturday, June 22, 2013",,No,American Rivers,2443,11.9,,Eldorado National Forest,,,,,,,,,,,,,,,,,,,,,Julie Fair,,,,,,,,,,,,,,,38.749509,-120.123243,South Fork American,Not a Meadow
Not Meadow #3 Assessment,,Not Meadow #3,UCDSNM012979,"Saturday, June 22, 2013",,No,American Rivers,2434,9.6,,Eldorado National Forest,,,,,,,,,,,,,,,,,,,,,Julie Fair,,,,,,,,,,,,,,,38.744366,-120.1212253,South Fork American,Not a meadow. Too steep. 
Not Meadow #5 Assessment,,Not Meadow #5,UCDSNM013000,"Monday, June 10, 2013",,No,American Rivers,2622,4.8,,Eldorado National Forest,,,,,,,,,,,,,,,,,,,,,Julie Fair,,,,,,,,,,,,,,,38.748427,-120.066815,South Fork American,Not a meadow. Hillside Drainage with a few low-gradient benches. 
Not Meadow #6 Assessment,,Not Meadow #6,UCDSNM012984,"Monday, June 10, 2013",,No,American Rivers,2437,3.8,,Eldorado National Forest,,,,,,,,,,,,,,,,,,,,,Julie Fair,,,,,,,,,,,,,,,38.746565,-120.087601,South Fork American,Not a meadow. Hillside drainage. 
